10 Cyclopean Visors|Checkpoint|Portcullis|Laser Grid
50 Purity Mooncake|35 Ancestor Mooncake|150 Peace Mooncake|Scarecrow Pet
Golden Heart Aura|Nightmare Devil Wings|Golden Angel Wings|Golden Devil Wings
3 Golden Heart Crystal|Phoenix Wings|Golden Angel Wings|Eldritch Wings
Stone Egg|200 Lava|Boss Goo|Ghost Egg
Stone Egg|200 lava|Wriggling Tentacle|Void Egg
Stone Egg|200 Lava|Head Bangin' Steel Wolf|Water Egg
20 Rune Stone|10 Dragon Glass|Table Lamp|Dragon Lamp
20 Rune Stone|10 Dragon Glass|Bathroom Mirror|Dragon Mirror
20 Rune Stone|10 Dragon Glass|10 Theater Seat|Dragon Throne
Easter Egg - Golden|50 Water Bucket|50 Egg|Soft-boiled Scepter
Egg|Milk|4 Dough|Bread
Egg|Sugar Cane|4 Wheat|Dough
2 Sugar Cane|2 Dough|6 Blueberry|Blueberry Muffin
Heart Antennae Headband|Transmog Crystal|10 Candy Heart|Heart Antennae Hat
Heart Antennae Hat|Transmog Crystal|10 Candy Heart|Heart Antennae Headband
20 Ancestor Mooncake|10 Songpyeon|20 Purity Mooncake|Jade Crescent Axe
5 Golden Heart Crystal|200 Broken Golden Digger's Spade|Grip Tape|Golden Digger's Spade
50 Golden Block|Explorer's Shovel|50 Steel Block|Broken Golden Digger's Spade
Habanero Pepper|Swiss Cheese Block|4 Dough|Habanero Cheese Bread
Tomato|Swiss Cheese Block|3 Dough|Pizza
4 Balance Mooncake|5 Purity Mooncake|5 Prosperity Mooncake|Ladakh Mask
2 Apple|2 Sugar Cane|3 Dough|Apple Pie
200 Candy Heart|Golden Heart Crystal|Heartbreak Wings|Golden Heartbreak Wings
Swiss Cheese Block|Cow|2 Bread|Cheeseburger
Seaweed|3 Fish Chunk|10 Rice|Maki Roll
Seaweed|3 Egg|10 Rice|Tamago Sushi
Swiss Cheese Block|2 Wheat|3 Fish Chunk|Fish Taco
Water Bucket|2 Rice|2 Wheat|Gruel
Dominatus Moderateus|20 Purple Block|Transmog Crystal|Cultist Hood
10 Ancestor Mooncake|5 Balance Mooncake|5 Purity Mooncake|Master Sensei's White Eyebrows
Potato|2 Fish Chunk|3 Wheat|Fish And Chips
3 Guild Potion: Black Mixer|10 Guild Potion: White Mixer|200 Haunted Chemical|Guild Potion - Geiger
Unearthly Chemical|5 Guild Potion: Black Mixer|15 Guild Potion: White Mixer|Guild Potion - Grow
5 Guild Potion: Black Mixer|20 Guild Potion: White Mixer|50 Mysterious Chemical|Guild Potion - Gems
5 Guild Potion: Black Mixer|15 Guild Potion: White Mixer|150 Radioactive Chemical|Guild Potion - Big Fish
10 Guild Potion: Black Mixer|15 Guild Potion: White Mixer|30 Synthetic Chemical|Guild Potion - Blocks
2 Chemical B|10 Radioactive Chemical|10 Chemical R|Hand Drill
2 Chemical Y|10 Radioactive Chemical|10 Chemical R|Nuclear Detonator
80's Tape Deck|2 Mega Rock Speaker|4 D Battery|Party Blaster
Iron Buckle|Silkworm Leash|4 Burnt Leather|Silkworm Saddle
Gift of the Unicorn|2 Sword Blade|2 Sword Pommel|Twin Swords
Warrior's Shield|Sword Blade|Sword Pommel|Sword And Shield
2 Grip Tape|2 Steel Axe Handle|2 Pick Blade|Climbing Picks
Cosmic Bridle|Pegasus|20 Synthetic Chemicals|Cosmic Sky Horse
Reanimator Remote|Spare Body|200 Limb Connectors|Living Dead Remote
Celestial Blade|Grip Tape|2 Steel Axe Handles|Celestial Lance
Transmog Crystal|Boots|20 Death Spikes|Cowboy Boots
Transmog Crystal|Space Helmet|20 Astronaut Pack|Astronaut Helmet
Transmog Crystal|Happy Sun Shirt|20 Blue Block|Blue Sun Shirt
Lovely Pink Dress|4 Dough|4 Sugar Cane|Layer Cake Dress
Transmog Crystal|MickeyMay Leash|20 Fashion Purse of any color|Purse Dog
200 Mysterious Chemical|200 Chemical P|200 Chemical B|Reanimator Remote
Transmog Crystal|Magnifying Glass|20 Afro|Retro Magnifying Glass
Transmog Crystal|Spiritual Resonator|20 Flaming Skull Mask|Spiritfire Mask
200 Hedge|200 Hedge Seeds|200 Campfire|Tumbleweed Attractor
Transmog Crystal|StarBoard|Flamethrower|Growboard
Transmog Crystal|Tiny Horsie|20 Polka Dot Block|Tiny Appaloosa
Transmog Crystal|Tiny Appaloosa|20 Golden Block|Avenie Golden Horse
Transmog Crystal|Cultist Hood|20 White Block|Dominatus Moderateus
Transmog Crystal|Cultist Robe|20 Snowballs|Growch Cultist Robe
200 Haunted Chemical|200 Synthetic Chemical|200 Chemical G|Haunted Synthoid
